Diameter (ft),Rings,Bin Model,Bushels,U.S. Tons Corn,Metric Tons Corn,U.S. Tons Wheat,Metric Tons Wheat,Low Floor,High Floor,"Eave Height (ft, inches)",Eave Height (m),"Fill Height (ft, inches)",Fill Height (m),Diameter (m),Roof Angle (degrees),Corrugation,Bottom
15,3,74-01511,"1,841",48.6,44.1,51.9,47.1,"1,671","1,613","11'2""",3.4,"15'0""",4.57,4.571999854,27.10386782,Wide,Flat
15,4,74-01515,"2,385",63,57.2,67.2,61,"2,216","2,158","14'10""",4.52,"18'8""",5.7,4.571999854,27.30212664,Wide,Flat
15,5,74-01518,"2,930",77.4,70.2,82.6,74.9,"2,760","2,702","18'6""",5.63,"22'5""",6.83,4.571999854,27.69652625,Wide,Flat
15,6,74-01522,"3,474",91.8,83.3,97.9,88.8,"3,305","3,247","22'2""",6.75,"26'0""",7.92,4.571999854,27.10386782,Wide,Flat
15,7,74-01526,"4,019",106.2,96.3,113.2,102.7,"3,849","3,791","25'10""",7.87,"29'8""",9.05,4.571999854,27.30212664,Wide,Flat
15,8,74-01529,"4,563",120.5,109.4,128.6,116.6,"4,394","4,336","29'6""",8.99,"33'5""",10.18,4.571999854,27.49967976,Wide,Flat
18,3,74-01811,"2,709",71.6,64.9,76.3,69.2,"2,464","2,381","11'2""",3.4,"15'11""",4.85,5.486399824,27.8600246,Wide,Flat
18,4,74-01815,"3,493",92.3,83.7,98.4,89.3,"3,249","3,165","14'10""",4.52,"19'6""",5.94,5.486399824,27.36805614,Wide,Flat
18,5,74-01818,"4,278",113,102.5,120.5,109.3,"4,033","3,950","18'6""",5.63,"23'2""",7.07,5.486399824,27.69652625,Wide,Flat
18,6,74-01822,"5,062",133.7,121.3,142.6,129.4,"4,818","4,734","22'2""",6.75,"26'11""",8.2,5.486399824,27.8600246,Wide,Flat
18,7,74-01826,"5,847",154.4,140.1,164.7,149.4,"5,602","5,519","25'10""",7.87,"30'6""",9.3,5.486399824,27.5325366,Wide,Flat
18,8,74-01829,"6,631",175.2,158.9,186.8,169.5,"6,387","6,303","29'6""",8.99,"34'2""",10.42,5.486399824,27.5325366,Wide,Flat
18,9,74-01833,"7,416",195.9,177.7,208.9,189.6,"7,171","7,087","33'2""",10.11,"37'11""",11.55,5.486399824,27.69652625,Wide,Flat
21,3,74-02111,"3,765",99.5,90.2,106.1,96.2,"3,432","3,318","11'2""",3.4,"16'8""",5.09,6.400799795,27.83669779,Wide,Flat
21,4,74-02115,"4,833",127.7,115.8,136.2,123.5,"4,500","4,387","14'10""",4.52,"20'5""",6.22,6.400799795,27.9765081,Wide,Flat
21,5,74-02118,"5,901",155.9,141.4,166.3,150.8,"5,568","5,455","18'6""",5.63,"24'1""",7.35,6.400799795,28.25504398,Wide,Flat
21,6,74-02122,"6,970",184.1,167,196.4,178.2,"6,637","6,523","22'2""",6.75,"27'8""",8.44,6.400799795,27.83669779,Wide,Flat
21,7,74-02126,"8,038",212.3,192.6,226.5,205.5,"7,705","7,591","25'10""",7.87,"31'5""",9.57,6.400799795,27.9765081,Wide,Flat
21,8,74-02129,"9,106",240.5,218.2,256.6,232.8,"8,773","8,659","29'6""",8.99,"35'1""",10.7,6.400799795,28.11595691,Wide,Flat
21,9,74-02133,"10,174",268.7,243.8,286.7,260.1,"9,841","9,727","33'2""",10.11,"38'8""",11.8,6.400799795,27.83669779,Wide,Flat
24,3,74-02411,"5,020",132.6,120.3,141.4,128.3,"4,585","4,436","11'2""",3.4,"17'7""",5.36,7.315199766,28.18554568,Wide,Flat
24,4,74-02415,"6,415",169.5,153.7,180.8,164,"5,980","5,831","14'10""",4.52,"21'4""",6.49,7.315199766,28.30710832,Wide,Flat
24,5,74-02418,"7,811",206.3,187.2,220.1,199.6,"7,376","7,227","18'6""",5.63,"24'11""",7.59,7.315199766,28.18554568,Wide,Flat
24,6,74-02422,"9,206",243.2,220.6,259.4,235.3,"8,771","8,622","22'2""",6.75,"28'7""",8.72,7.315199766,28.30710832,Wide,Flat
24,7,74-02426,"10,602",280,254.1,298.7,271,"10,167","10,018","25'10""",7.87,"32'4""",9.85,7.315199766,28.42839377,Wide,Flat
24,8,74-02429,"11,997",316.9,287.5,338,306.7,"11,562","11,413","29'6""",8.99,"35'11""",10.94,7.315199766,28.06370599,Wide,Flat
