Type,Subtype,Diameter (ft),Bin Model,Bushels,U.S. Tons Corn,Metric Tons Corn,"Eave Height (ft, inches)",Eave Height (m),"Fill Height (ft, inches)",Fill Height (m),Diameter (m),Roof Angle (degrees),Corrugation,Bottom,Rings,
Flat Bottom,Wide Core,15,E4-015022,"3,474",92,83,22'2”,6.75,26'0”,7.92,4.571999854,27.10386782,Wide,Flat,6,
Flat Bottom,Wide Core,15,E4-015029,"4,563",121,109,29'6”,8.99,33'5”,10.18,4.571999854,27.49967976,Wide,Flat,8,
Flat Bottom,Wide Core,15,E4-015033,"5,108",135,122,33'2”,10.11,37'0”,11.28,4.571999854,27.10386782,Wide,Flat,9,
Flat Bottom,Wide Core,15,E4-015040,"6,197",164,149,40'6”,12.34,44'5”,13.53,4.571999854,27.49967976,Wide,Flat,#N/A,
Flat Bottom,Wide Core,15,E4-015044,"6,741",178,162,44'2”,13.46,48'0”,14.63,4.571999854,27.10386782,Wide,Flat,#N/A,
Flat Bottom,Wide Core,15,E4-015051,"7,830",207,188,51'6”,15.69,55'5”,16.89,4.571999854,27.69652625,Wide,Flat,#N/A,
Flat Bottom,Wide Core,15,E4-015055,"8,375",221,201,55'2”,16.81,59'0”,17.98,4.571999854,27.10386782,Wide,Flat,#N/A,
Flat Bottom,Wide Core,15,E4-015059,"8,920",236,214,58'10”,17.93,62'8”,19.11,4.571999854,27.30212664,Wide,Flat,#N/A,
Flat Bottom,Wide Core,18,E4-018022,"5,062",134,121,22'2”,6.75,26'11”,8.2,5.486399824,27.8600246,Wide,Flat,6,
Flat Bottom,Wide Core,18,E4-018029,"6,631",175,159,29'6”,8.99,34'2”,10.42,5.486399824,27.5325366,Wide,Flat,8,
Flat Bottom,Wide Core,18,E4-018033,"7,416",196,178,33'2”,10.11,37'11”,11.55,5.486399824,27.69652625,Wide,Flat,9,
Flat Bottom,Wide Core,18,E4-018040,"8,984",237,215,40'6”,12.34,45'2”,13.78,5.486399824,27.69652625,Wide,Flat,#N/A,
Flat Bottom,Wide Core,18,E4-018044,"9,769",258,234,44'2”,13.46,48'11”,14.9,5.486399824,27.69652625,Wide,Flat,#N/A,
Flat Bottom,Wide Core,18,E4-018051,"11,338",299,272,51'6”,15.69,56'2”,17.13,5.486399824,27.69652625,Wide,Flat,#N/A,
Flat Bottom,Wide Core,18,E4-018055,"12,122",320,290,55'2”,16.81,59'11”,18.26,5.486399824,27.8600246,Wide,Flat,#N/A,
Flat Bottom,Wide Core,18,E4-018062,"13,691",362,328,62'6”,19.05,67'2”,20.48,5.486399824,27.5325366,Wide,Flat,#N/A,
Flat Bottom,Wide Core,18,E4-018066,"14,476",382,347,66'2”,20.16,70'11”,21.61,5.486399824,27.8600246,Wide,Flat,#N/A,
Flat Bottom,Wide Core,18,E4-018070,"15,260",403,366,69'10”,21.28,74'6”,22.71,5.486399824,27.5325366,Wide,Flat,#N/A,
Flat Bottom,Wide Core,21,E4-021022,"6,970",184,167,22'2”,6.75,27'8”,8.44,6.400799795,27.83669779,Wide,Flat,6,
Flat Bottom,Wide Core,21,E4-021029,"9,106",241,218,29'6”,8.99,35'1”,10.7,6.400799795,28.11595691,Wide,Flat,8,
Flat Bottom,Wide Core,21,E4-021033,"10,174",269,244,33'2”,10.11,38'8”,11.8,6.400799795,27.83669779,Wide,Flat,9,
Flat Bottom,Wide Core,21,E4-021040,"12,310",325,295,40'6”,12.34,46'1”,14.05,6.400799795,28.11595691,Wide,Flat,#N/A,
Flat Bottom,Wide Core,21,E4-021044,"13,378",353,321,44'2”,13.46,49'8”,15.15,6.400799795,27.83669779,Wide,Flat,#N/A,
Flat Bottom,Wide Core,21,E4-021051,"15,515",410,372,51'6”,15.69,57'1”,17.4,6.400799795,28.11595691,Wide,Flat,#N/A,
Flat Bottom,Wide Core,21,E4-021055,"16,583",438,397,55'2”,16.81,60'8”,18.5,6.400799795,27.83669779,Wide,Flat,#N/A,
Flat Bottom,Wide Core,21,E4-021062,"18,719",494,449,62'6”,19.05,68'1”,20.76,6.400799795,28.11595691,Wide,Flat,#N/A,
Flat Bottom,Wide Core,21,E4-021066,"19,787",523,474,66'2”,20.16,71'8”,21.85,6.400799795,27.83669779,Wide,Flat,#N/A,
Flat Bottom,Wide Core,21,E4-021070,"20,855",551,500,69'10”,21.28,75'5”,22.98,6.400799795,27.9765081,Wide,Flat,#N/A,
Flat Bottom,Wide Core,21,E4-021073,"21,923",579,525,73'6”,22.4,79'1”,24.11,6.400799795,28.11595691,Wide,Flat,#N/A,
Flat Bottom,Wide Core,21,E4-021077,"22,991",607,551,77'2”,23.52,82'8”,25.21,6.400799795,27.83669779,Wide,Flat,#N/A,
Flat Bottom,Wide Core,21,E4-021081,"24,060",636,577,80'10”,24.63,86'5”,26.33,6.400799795,27.9765081,Wide,Flat,#N/A,
Flat Bottom,Wide Core,24,E4-024022,"9,206",243,221,22'2”,6.75,28'7”,8.72,7.315199766,28.30710832,Wide,Flat,6,
Flat Bottom,Wide Core,24,E4-024029,"11,997",317,287,29'6”,8.99,35'11”,10.94,7.315199766,28.06370599,Wide,Flat,8,
Flat Bottom,Wide Core,24,E4-024033,"13,392",354,321,33'2”,10.11,39'7”,12.07,7.315199766,28.18554568,Wide,Flat,9,
Flat Bottom,Wide Core,24,E4-024040,"16,183",427,388,40'6”,12.34,46'11”,14.3,7.315199766,28.18554568,Wide,Flat,#N/A,
Flat Bottom,Wide Core,24,E4-024044,"17,579",464,421,44'2”,13.46,50'7”,15.42,7.315199766,28.18554568,Wide,Flat,#N/A,
Flat Bottom,Wide Core,24,E4-024051,"20,370",538,488,51'6”,15.69,57'11”,17.65,7.315199766,28.18554568,Wide,Flat,#N/A,
Flat Bottom,Wide Core,24,E4-024055,"21,765",575,522,55'2”,16.81,61'7”,18.78,7.315199766,28.30710832,Wide,Flat,#N/A,
Flat Bottom,Wide Core,24,E4-024062,"24,556",649,588,62'6”,19.05,68'11”,21,7.315199766,28.06370599,Wide,Flat,#N/A,
Flat Bottom,Wide Core,24,E4-024066,"25,952",686,622,66'2”,20.16,72'7”,22.13,7.315199766,28.30710832,Wide,Flat,#N/A,
Flat Bottom,Wide Core,24,E4-024073,"28,743",759,689,73'6”,22.4,79'11”,24.35,7.315199766,28.06370599,Wide,Flat,#N/A,
Flat Bottom,Wide Core,24,E4-024077,"30,138",796,722,77'2”,23.52,83'7”,25.48,7.315199766,28.18554568,Wide,Flat,#N/A,
Flat Bottom,Wide Core,24,E4-024081,"31,534",833,756,80'10”,24.63,87'4”,26.61,7.315199766,28.42839377,Wide,Flat,#N/A,
Flat Bottom,Wide Core,24,E4-024084,"32,929",870,789,84'6”,25.75,90'11”,27.71,7.315199766,28.18554568,Wide,Flat,#N/A,
Flat Bottom,Wide Core,24,E4-024088,"34,325",907,823,88'2”,26.87,94'7”,28.83,7.315199766,28.18554568,Wide,Flat,#N/A,
Flat Bottom,Wide Core,27,E4-027022,"11,781",311,282,22'2”,6.75,29'6”,8.99,8.229599737,28.56283011,Wide,Flat,6,
Flat Bottom,Wide Core,27,E4-027029,"15,314",405,367,29'6”,8.99,36'10”,11.22,8.229599737,28.45530844,Wide,Flat,8,
Flat Bottom,Wide Core,27,E4-027033,"17,081",451,409,33'2”,10.11,40'6”,12.34,8.229599737,28.45530844,Wide,Flat,9,
Flat Bottom,Wide Core,27,E4-027040,"20,614",545,494,40'6”,12.34,47'10”,14.57,8.229599737,28.45530844,Wide,Flat,#N/A,
Flat Bottom,Wide Core,27,E4-027044,"22,380",591,536,44'2”,13.46,51'6”,15.7,8.229599737,28.56283011,Wide,Flat,#N/A,
Flat Bottom,Wide Core,27,E4-027051,"25,913",685,621,51'6”,15.69,58'10”,17.92,8.229599737,28.45530844,Wide,Flat,#N/A,
Flat Bottom,Wide Core,27,E4-027055,"27,680",731,663,55'2”,16.81,62'6”,19.05,8.229599737,28.56283011,Wide,Flat,#N/A,
Flat Bottom,Wide Core,27,E4-027062,"31,213",824,748,62'6”,19.05,69'10”,21.28,8.229599737,28.45530844,Wide,Flat,#N/A,
Flat Bottom,Wide Core,27,E4-027066,"32,979",871,790,66'2”,20.16,73'6”,22.4,8.229599737,28.56283011,Wide,Flat,#N/A,
Flat Bottom,Wide Core,27,E4-027073,"36,512",964,875,73'6”,22.4,80'10”,24.63,8.229599737,28.45530844,Wide,Flat,#N/A,
Flat Bottom,Wide Core,27,E4-027077,"38,279","1,011",917,77'2”,23.52,84'6”,25.76,8.229599737,28.56283011,Wide,Flat,#N/A,
Flat Bottom,Wide Core,27,E4-027081,"40,045","1,058",960,80'10”,24.63,88'1”,26.85,8.229599737,28.34756761,Wide,Flat,#N/A,
Flat Bottom,Wide Core,27,E4-027084,"41,812","1,104","1,002",84'6”,25.75,91'10”,27.98,8.229599737,28.45530844,Wide,Flat,#N/A,
Flat Bottom,Wide Core,27,E4-027088,"43,578","1,151","1,044",88'2”,26.87,95'6”,29.11,8.229599737,28.56283011,Wide,Flat,#N/A,
Flat Bottom,Wide Core,30,E4-030022,"14,704",388,352,22'2”,6.75,30'4”,9.24,9.143999707,28.57357022,Wide,Flat,6,
Flat Bottom,Wide Core,30,E4-030029,"19,067",504,457,29'6”,8.99,37'8”,11.49,9.143999707,28.67013255,Wide,Flat,8,
Flat Bottom,Wide Core,30,E4-030033,"21,248",561,509,33'2”,10.11,41'4”,12.59,9.143999707,28.47683031,Wide,Flat,9,
Flat Bottom,Wide Core,30,E4-030040,"25,610",677,614,40'6”,12.34,48'8”,14.84,9.143999707,28.67013255,Wide,Flat,#N/A,
Flat Bottom,Wide Core,30,E4-030044,"27,792",734,666,44'2”,13.46,52'4”,15.94,9.143999707,28.47683031,Wide,Flat,#N/A,
Flat Bottom,Wide Core,30,E4-030051,"32,154",849,771,51'6”,15.69,59'8”,18.2,9.143999707,28.76651723,Wide,Flat,#N/A,
Flat Bottom,Wide Core,30,E4-030055,"34,335",907,823,55'2”,16.81,63'4”,19.29,9.143999707,28.47683031,Wide,Flat,#N/A,
Flat Bottom,Wide Core,30,E4-030062,"38,698","1,022",927,62'6”,19.05,70'8”,21.55,9.143999707,28.67013255,Wide,Flat,#N/A,
Flat Bottom,Wide Core,30,E4-030066,"40,879","1,080",980,66'2”,20.16,74'4”,22.65,9.143999707,28.57357022,Wide,Flat,#N/A,
Flat Bottom,Wide Core,30,E4-030073,"45,241","1,195","1,084",73'6”,22.4,81'8”,24.9,9.143999707,28.67013255,Wide,Flat,#N/A,
Flat Bottom,Wide Core,30,E4-030077,"47,423","1,253","1,136",77'2”,23.52,85'4”,26,9.143999707,28.47683031,Wide,Flat,#N/A,
Flat Bottom,Wide Core,30,E4-030081,"49,604","1,310","1,189",80'10”,24.63,89'0”,27.13,9.143999707,28.67013255,Wide,Flat,#N/A,
Flat Bottom,Wide Core,30,E4-030084,"51,785","1,368","1,241",84'6”,25.75,92'8”,28.25,9.143999707,28.67013255,Wide,Flat,#N/A,
Flat Bottom,Wide Core,30,E4-030088,"53,966","1,426","1,293",88'2”,26.87,96'4”,29.35,9.143999707,28.47683031,Wide,Flat,#N/A,
Flat Bottom,Wide Core,33,E4-033022,"17,985",475,431,22'2”,6.75,31'2”,9.51,10.05839968,28.75776233,Wide,Flat,6,
Flat Bottom,Wide Core,33,E4-033029,"23,264",615,557,29'6”,8.99,38'6”,11.73,10.05839968,28.58235596,Wide,Flat,8,
Flat Bottom,Wide Core,33,E4-033033,"25,904",684,621,33'2”,10.11,42'2”,12.86,10.05839968,28.67013255,Wide,Flat,9,
Flat Bottom,Wide Core,33,E4-033040,"31,183",824,747,40'6”,12.34,49'6”,15.09,10.05839968,28.67013255,Wide,Flat,#N/A,
Flat Bottom,Wide Core,33,E4-033044,"33,823",893,811,44'2”,13.46,53'2”,16.22,10.05839968,28.75776233,Wide,Flat,#N/A,
Flat Bottom,Wide Core,33,E4-033051,"39,102","1,033",937,51'6”,15.69,60'6”,18.44,10.05839968,28.67013255,Wide,Flat,#N/A,
Flat Bottom,Wide Core,33,E4-033055,"41,742","1,103","1,000",55'2”,16.81,64'2”,19.57,10.05839968,28.75776233,Wide,Flat,#N/A,
Flat Bottom,Wide Core,33,E4-033062,"47,021","1,242","1,127",62'6”,19.05,71'6”,21.79,10.05839968,28.58235596,Wide,Flat,#N/A,
Flat Bottom,Wide Core,33,E4-033066,"49,660","1,312","1,190",66'2”,20.16,75'2”,22.92,10.05839968,28.75776233,Wide,Flat,#N/A,
Flat Bottom,Wide Core,33,E4-033070,"52,300","1,382","1,253",69'10”,21.28,78'11”,24.05,10.05839968,28.84524525,Wide,Flat,#N/A,
Flat Bottom,Wide Core,33,E4-033073,"54,940","1,451","1,317",73'6”,22.4,82'6”,25.15,10.05839968,28.67013255,Wide,Flat,#N/A,
Flat Bottom,Wide Core,33,E4-033077,"57,579","1,521","1,380",77'2”,23.52,86'2”,26.27,10.05839968,28.67013255,Wide,Flat,#N/A,
Flat Bottom,Wide Core,33,E4-033081,"60,219","1,591","1,443",80'10”,24.63,89'11”,27.4,10.05839968,28.84524525,Wide,Flat,#N/A,
Flat Bottom,Wide Core,33,E4-033084,"62,859","1,660","1,506",84'6”,25.75,93'6”,28.5,10.05839968,28.67013255,Wide,Flat,#N/A,
Flat Bottom,Wide Core,33,E4-033088,"65,498","1,730","1,570",88'2”,26.87,97'2”,29.63,10.05839968,28.75776233,Wide,Flat,#N/A,
Flat Bottom,Wide Core,36,E4-036022,"21,633",571,518,22'2”,6.75,32'0”,9.75,10.97279965,28.67013255,Wide,Flat,6,
Flat Bottom,Wide Core,36,E4-036029,"27,916",737,669,29'6”,8.99,39'5”,12.01,10.97279965,28.83067497,Wide,Flat,8,
Flat Bottom,Wide Core,36,E4-036033,"31,058",820,744,33'2”,10.11,43'0”,13.11,10.97279965,28.67013255,Wide,Flat,9,
Flat Bottom,Wide Core,36,E4-036040,"37,341",986,895,40'6”,12.34,50'5”,15.36,10.97279965,28.83067497,Wide,Flat,#N/A,
Flat Bottom,Wide Core,36,E4-036044,"40,483","1,069",970,44'2”,13.46,54'0”,16.46,10.97279965,28.67013255,Wide,Flat,#N/A,
